CONSTANT,TEMP,TLU,RAIN,POP,DEBT,ECO,R2_SCORE,MSE_SCORE
17.782660163293155,2.277721518689509,1.6926327603672737,1.4403628627952754,-2.1297762540027683,3.014674860165771,1.105396545325185,0.503090990468523,3.105053299757913
17.969789381669138,2.2413469551025775,1.5990361018049761,1.5506246753449973,-2.0943698607113896,2.98932499996667,1.1164310262798756,0.8907907126592801,1.2243135581515574
17.857137453469612,2.5716249593184273,1.7459311830260722,1.521563485479195,-2.0873191852588255,2.6573614579035887,1.1881312238928345,0.27996537251126297,7.726903582654567
17.873744384973893,2.4092158331082736,1.726419907946872,1.5313091829133638,-2.0888829603537906,2.8748466100377827,1.1573516478274888,0.9262951378933996,0.10366536841483276
17.821330295471533,2.6410769122322812,1.3770685915898178,1.629253141832877,-2.336316496540786,2.8709433632453383,1.3397483385158617,-2.6745420829961617,13.900860169967158
18.041865302815975,1.813085775703736,1.5535469215174913,1.6048296722821538,-1.6922506511360556,2.4250461778743846,1.810316021886167,-1.8286495435856365,21.505345791280646
17.919319233167602,2.5066580805444834,2.1911871199682653,1.0677301746083196,-1.4353405739973963,2.4463563924089557,1.3311243630881078,-3.209807669494645,8.066318772776391
17.67227051590361,2.390789547398598,1.5060613003160581,1.6187322501694492,-1.9111619472160952,2.5692582755028592,1.0308840868570044,-2.324457422416618,20.016387556538785
17.894835419837115,2.605840701683617,1.8541236889910655,1.5838717177569983,-2.2070332961734156,3.190551705767819,1.1757297937140523,-0.034841389151056834,7.182522142148035
17.797063267181645,2.214241851447092,1.8188795840478023,1.5271567306870548,-1.9853418344202864,2.8776279363842368,0.9685811974790162,0.12848111968908937,8.414853395925448
